seed_rng,uni_feas,uni_cost,uni_viol,ucb_feas,ucb_cost,ucb_viol,adaptive_wins_feas_first
42,0,2611,0.656213,0,1231.19,0.0168341,1
43,0,1576.06,0.208368,1,1045.98,0,1
44,0,2275.92,0.105517,0,1136.96,0.033136,1
45,0,1894.54,0.0661233,1,1432.87,0,1
46,0,1655.38,0.493024,0,3090.47,0.364726,1
