solver,problem,seed,converged,feasible,termination_reason,final_cost,eq_violation,ineq_violation,dynamics_violation,iterations,time_ms,chi
optimal_solver,pendulum_swingup,0,1,1,CONVERGED,186.108,0,0,0,4,6.9584,2.23327e-10
optimal_solver,double_integrator_reach,0,0,1,MAX_ITER,6.66568,0,0,0,60,82.544,0.00555436
optimal_solver,nav_2d_bicycle,0,1,1,CONVERGED,1341.41,0,0,0.000678114,7,69.0065,0.0158433
optimal_solver,pendulum_swingup,1,1,1,CONVERGED,186.108,0,0,0,4,9.57949,2.23327e-10
optimal_solver,double_integrator_reach,1,0,1,MAX_ITER,6.66568,0,0,0,60,85.0606,0.00555436
optimal_solver,nav_2d_bicycle,1,0,1,MAX_ITER,546.365,0,0,0.000788041,80,2035.54,0.237393
optimal_solver,pendulum_swingup,2,1,1,CONVERGED,186.108,0,0,0,4,22.3155,2.23327e-10
optimal_solver,double_integrator_reach,2,0,1,MAX_ITER,6.66568,0,0,0,60,332.022,0.00555436
optimal_solver,nav_2d_bicycle,2,0,1,MAX_ITER,543.75,0,0,0.000953557,80,2730.88,0.117013
